AU	ACT	Australian Capital Territory	\N
AU	NSW	New South Wales	\N
AU	NT	Northern Territory	\N
AU	QLD	Queensland	\N
AU	SA	South Australia	\N
AU	TAS	Tasmania	\N
AU	VIC	Victoria	\N
AU	WA	Western Australia	\N
CA	AB	Alberta	\N
CA	BC	British Columbia	\N
CA	MB	Manitoba	\N
CA	NB	New Brunswick	\N
CA	NL	Newfoundland and Labrador	\N
CA	NS	Nova Scotia	\N
CA	NT	Northwest Territories	\N
CA	NU	Nunavut	\N
CA	ON	Ontario	\N
CA	PE	Prince Edward Island	\N
CA	QC	Quebec	\N
CA	SK	Saskatchewan	\N
CA	YT	Yukon	\N
US	AK	Alaska	\N
US	AL	Alabama	\N
US	AR	Arkansas	\N
US	AZ	Arizona	\N
US	CA	California	\N
US	CO	Colorado	\N
US	CT	Connecticut	\N
US	DC	District of Columbia	\N
US	DE	Delaware	\N
US	FL	Florida	\N
US	GA	Georgia	\N
US	HI	Hawaii	\N
US	IA	Iowa	\N
US	ID	Idaho	\N
US	IL	Illinois	\N
US	IN	Indiana	\N
US	KS	Kansas	\N
US	KY	Kentucky	\N
US	LA	Louisiana	\N
US	MA	Massachusetts	\N
US	MD	Maryland	\N
US	ME	Maine	\N
US	MI	Michigan	\N
US	MN	Minnesota	\N
US	MO	Missouri	\N
US	MS	Mississippi	\N
US	MT	Montana	\N
US	NC	North Carolina	\N
US	ND	North Dakota	\N
US	NE	Nebraska	\N
US	NH	New Hampshire	\N
US	NJ	New Jersey	\N
US	NM	New Mexico	\N
US	NV	Nevada	\N
US	NY	New York	\N
US	OH	Ohio	\N
US	OK	Oklahoma	\N
US	OR	Oregon	\N
US	PA	Pennsylvania	\N
US	RI	Rhode Island	\N
US	SC	South Carolina	\N
US	SD	South Dakota	\N
US	TN	Tennessee	\N
US	TX	Texas	\N
US	UT	Utah	\N
US	VA	Virginia	\N
US	VT	Vermont	\N
US	WA	Washington	\N
US	WI	Wisconsin	\N
US	WV	West Virginia	\N
US	WY	Wyoming	\N
